stationid,duration
72,17058703
79,8721961
82,6808909
83,17348578
116,12726742
119,2599092
120,3314874
127,20667388
128,22034047
143,6971147
144,6412858
146,8685357
150,8265835
151,31177967
152,9454856
153,10683139
157,6213872
161,18650244
164,10251921
167,14440924
168,22337537
173,18780704
174,10014194
195,18026565
212,16975853
216,5204171
217,29642255
223,10020442
224,1739777
228,8969412
229,20421675
232,8057625
236,17251171
237,16498530
238,12588110
239,6651499
241,5753062
242,4778666
243,3869972
244,4895110
245,10099345
247,9665797
248,3764688
249,7532752
251,18577927
252,11261430
253,11191164
254,7455472
257,13229579
258,5295250
259,19758400
260,6988486
261,6514804
262,3343890
264,9716116
265,17996150
266,8519820
267,16288201
268,14087290
270,2641429
274,8698870
275,2874154
276,8646704
278,5029880
279,24358845
280,10209863
281,68672558
282,8430288
284,22313445
285,25286702
289,2729903
291,5992603
293,25330064
295,8941693
296,10211477
297,15109446
301,13910302
302,7011293
303,13010031
304,25727228
305,13963204
306,10552196
307,13082288
308,7418499
309,16251384
310,5668164
311,8866016
312,18282375
313,4844790
314,7822776
315,23376046
316,5746343
317,11269316
319,16035753
320,9752519
321,10869352
322,8975213
323,19665639
324,7633119
325,12106739
326,12536882
327,30280758
328,14715907
330,9751465
331,6017009
332,10062377
334,14999149
335,11999360
336,19203820
337,9274791
339,5289253
340,5506742
341,5878854
342,6518985
343,7574769
344,9386157
345,13750730
346,11977577
347,20449134
348,13717113
349,7480573
350,11363022
351,13138160
353,5515343
354,4373016
355,13095868
356,8324872
357,7589983
358,27035164
359,27991519
360,9052167
361,15159935
362,9783466
363,18655663
364,4062492
365,4619388
366,14001401
368,27269227
369,9168063
372,3085234
373,1838580
376,10240707
377,16815669
379,21410787
380,20715010
382,20656473
383,14667275
384,12973990
385,11129839
386,13560768
387,44615997
388,12409184
389,9212316
390,6255641
391,8249606
392,12505234
393,5831368
394,11612615
395,4819295
396,10750800
397,4425689
398,12007760
399,4360400
400,4052641
401,17913220
402,31080984
403,11128198
405,27496615
406,7223426
407,4707612
408,6664249
409,6541504
410,16863730
411,6777731
412,16918133
414,8696660
415,11871919
416,4535254
417,18478603
418,5267885
419,2543593
420,3635763
421,2351156
422,11005269
423,9437212
426,58033347
427,16160807
428,14304389
430,12856316
432,19762731
433,18717652
434,14717728
435,29590346
436,10610835
437,19438061
438,13886805
439,13994236
440,9774753
441,10916945
442,18249167
443,8599801
444,26995174
445,18457397
446,17378668
447,18862728
448,15026664
449,8779473
450,24884746
453,15171376
454,7779518
455,9444263
456,11091923
457,27370636
458,21975742
459,36605869
460,14982437
461,18480279
462,22823784
465,21184307
466,14760555
467,6602534
468,16090439
469,11634310
470,11125826
471,9615315
472,14771839
473,11439944
474,13565753
476,13071734
477,28727624
478,17470212
479,21797748
480,13011498
481,11739827
482,14188613
483,15112079
484,13305792
485,11641828
486,16625642
487,15092663
488,1851964
490,30401308
491,18500541
492,20821504
494,16079438
495,13823137
496,16201731
497,39051063
498,15978687
499,31618625
500,11051345
501,21548196
502,11664751
503,14459483
504,19404256
505,22325282
507,16200298
508,17367001
509,17496993
511,3818801
513,13575493
514,57155598
515,13142880
516,5935160
517,15522504
518,19615123
519,50203347
520,13715402
522,9257369
523,29094736
524,14963404
525,17665032
526,14823067
527,17886211
528,11603902
529,17785572
530,22521050
531,15917654
532,23591959
533,0
534,14602172
536,12923219
537,16930843
